,question,label,Verbes conjugués à la troisième personne du présent indicatif,Déterminants possessifs,Mots interrogatifs,Nombre de mots,Nombre de lettres,Moyenne du nombre de lettres par mots,Pronoms interogatifs,Adverbes interogatifs,Noms au pluriel,Nombres cardinaux,Verbes transitifs,M_mots,Interjections,Lieux,Lieux uniques,Détails,Détails uniques,Organisations,Organisations uniques,Personnes,Personnes uniques,SD_mots,M_adjectifs,M_prépositions,M_adverbes,M_déterminants,M_noms,M_noms propres,M_verbes,SD_adjectifs,SD_prépositions,SD_adverbes,SD_déterminants,SD_noms,SD_noms propres,SD_verbes
10,Quelles sont les conséquences de la découverte du nouveau monde au XV<sup>e</sup> siècle ?,0.0,0,0,0,19,77,4.052631578947368,0,0,1,0,0,23291.584374999988,0,0,0,0,0,0,0,0,0,79740.10763373507,465.72499999999997,6305.215,,13652.76,363.288,0.0,0.0,46.82499999999999,10920.952732645399,,0.0,649.7657929562005,0.0,0.0
11,Quel est le degré de contraste de peuplement du territoire national ?,1.0,0,0,1,12,58,4.833333333333333,0,0,0,0,0,37079.73499999998,0,0,0,0,0,0,0,0,0,98317.80163801066,398.07500000000005,25220.86,0.0,13652.76,27.913333333333338,,,259.635,0.0,0.0,0.0,17.736698928743447,,
12,Quel est le degré de contraste de peuplement du territoire national ?,0.0,0,0,1,12,58,4.833333333333333,0,0,0,0,0,37079.73499999998,0,0,0,0,0,0,0,0,0,98317.80163801066,398.07500000000005,25220.86,0.0,13652.76,27.913333333333338,,,259.635,0.0,0.0,0.0,17.736698928743447,,
13,Quels pays d'Afrique ont le plus de problèmes d'accès à l'eau ?,1.0,0,0,1,15,52,3.466666666666667,0,0,2,0,1,55365.372500000034,0,1,1,0,0,0,0,0,0,167634.14208628883,657.71,18705.63,,13652.76,380.948,0.0,610758.0000000005,0.0,6515.2300000000005,,0.0,393.0752046822593,0.0,0.0
14,Quels pays d'Afrique ont le plus de problèmes d'accès à l'eau ?,0.0,0,0,1,15,52,3.466666666666667,0,0,2,0,1,55365.372500000034,0,1,1,0,0,0,0,0,0,167634.14208628883,657.71,18705.63,,13652.76,380.948,0.0,610758.0000000005,0.0,6515.2300000000005,,0.0,393.0752046822593,0.0,0.0
15,Quelles sont les principales causes de conflit et de tension dans les pays pauvres ?,0.0,0,0,0,15,70,4.666666666666667,0,0,2,0,0,29939.25923076922,0,0,0,0,0,0,0,0,0,87243.61825664384,338.4433333333333,14939.725,,13652.76,177.4775,,,149.86806961087103,10281.135,,0.0,164.8919364879617,,
16,Quelles sont les principales causes de conflit et de tension dans les pays pauvres ?,1.0,0,0,0,15,70,4.666666666666667,0,0,2,0,0,29939.25923076922,0,0,0,0,0,0,0,0,0,87243.61825664384,338.4433333333333,14939.725,,13652.76,177.4775,,,149.86806961087103,10281.135,,0.0,164.8919364879617,,
17,Quel est le rôle du roi en France ?,1.0,0,0,1,9,27,3.0,0,0,0,0,0,41862.07444444442,0,1,1,0,0,0,0,0,0,102563.565389394,657.71,15455.27,,13652.76,246.91,0.0,,0.0,9765.59,,0.0,108.15,0.0,
18,Quel est le rôle du roi en France ?,0.0,0,0,1,9,27,3.0,0,0,0,0,0,41862.07444444442,0,1,1,0,0,0,0,0,0,102563.565389394,657.71,15455.27,,13652.76,246.91,0.0,,0.0,9765.59,,0.0,108.15,0.0,
19,Quel est le rôle du roi en France ?,0.0,0,0,1,9,27,3.0,0,0,0,0,0,41862.07444444442,0,1,1,0,0,0,0,0,0,102563.565389394,657.71,15455.27,,13652.76,246.91,0.0,,0.0,9765.59,,0.0,108.15,0.0,
20,Quel est le pourcentage de migrants dans la population mondiale ?,0.0,0,0,1,11,55,5.0,0,0,1,0,0,37532.98399999998,0,0,0,0,0,0,0,0,0,98156.71343154329,356.435,14939.725,,13652.76,13.64,,,301.275,10281.135,,0.0,13.109213045284855,,
21,Quel est le pourcentage de migrants dans la population mondiale ?,1.0,0,0,1,11,55,5.0,0,0,1,0,0,37532.98399999998,0,0,0,0,0,0,0,0,0,98156.71343154329,356.435,14939.725,,13652.76,13.64,,,301.275,10281.135,,0.0,13.109213045284855,,
22,La France est-elle une destination touristique prisée ?,1.0,0,0,0,8,48,6.0,0,0,0,0,1,3225.4350000000004,0,1,1,0,0,0,0,0,0,5582.145414844996,2.54,,,12870.19,21.76,0.0,36.260000000000005,2.54,,,782.5699999999997,0.0,0.0,0.0
23,Quels sont les conséquences de la mondialisation pour les Etats ?,0.0,0,0,1,11,55,5.0,0,0,2,0,0,41965.82111111109,0,1,1,0,0,0,0,0,0,102530.69041935675,657.71,16149.705,,13652.76,12.89,,,0.0,9071.155,,0.0,18.13736658577167,,
24,Quels sont les conséquences de la mondialisation pour les Etats ?,1.0,0,0,1,11,55,5.0,0,0,2,0,0,41965.82111111109,0,1,1,0,0,0,0,0,0,102530.69041935675,657.71,16149.705,,13652.76,12.89,,,0.0,9071.155,,0.0,18.13736658577167,,
25,Quels sont les espaces les plus exposés aux risques naturels et technologiques ?,1.0,0,0,1,13,68,5.230769230769231,0,0,2,0,1,31290.659999999978,0,0,0,0,0,0,0,0,0,90535.32245763273,273.3566666666667,12190.4,4062.45,13652.76,113.19999999999999,,582.9200000000001,279.1299067141001,0.0,0.0,0.0,25.46,,0.0
26,Quels sont les différents rois en France au XVIe et XVIIe siècles ?,1.0,0,0,1,13,55,4.230769230769231,0,0,2,1,0,28072.528461538448,0,2,2,0,0,0,0,0,0,87587.94773670488,400.30333333333334,2844.84,,13652.76,223.3,0.0,,286.8916218520313,2844.84,,0.0,131.76,0.0,
27,Quels sont les différents rois en France au XVIe et XVIIe siècles ?,0.0,0,0,1,13,55,4.230769230769231,0,0,2,1,0,28072.528461538448,0,2,2,0,0,0,0,0,0,87587.94773670488,400.30333333333334,2844.84,,13652.76,223.3,0.0,,286.8916218520313,2844.84,,0.0,131.76,0.0,
28,Quelle est la population de la France en 2019 ?,1.0,0,0,0,10,38,3.8,0,0,0,1,0,41737.61111111109,0,1,1,0,0,0,0,0,0,102613.96561184143,0.0,15455.27,,13652.76,31.36,0.0,,0.0,9765.59,,0.0,0.0,0.0,
29,Pourquoi mettre en place une politique de développement durable en Afrique ?,1.0,0,0,1,12,65,5.416666666666667,0,1,0,0,1,7200.747272727275,0,1,1,0,0,0,0,0,0,11336.17218902483,4.26,15455.27,1348.04,12087.62,231.17999999999998,0.0,34164.22000000003,0.0,9765.59,0.0,0.0,263.8732983839024,0.0,0.0
30,Pourquoi mettre en place une politique de développement durable en Afrique ?,0.0,0,0,1,12,65,5.416666666666667,0,1,0,0,1,7200.747272727275,0,1,1,0,0,0,0,0,0,11336.17218902483,4.26,15455.27,1348.04,12087.62,231.17999999999998,0.0,34164.22000000003,0.0,9765.59,0.0,0.0,263.8732983839024,0.0,0.0
31,Pourquoi mettre en place une politique de développement durable en Afrique ?,0.0,0,0,1,12,65,5.416666666666667,0,1,0,0,1,7200.747272727275,0,1,1,0,0,0,0,0,0,11336.17218902483,4.26,15455.27,1348.04,12087.62,231.17999999999998,0.0,34164.22000000003,0.0,9765.59,0.0,0.0,263.8732983839024,0.0,0.0
32,Quel est le rôle de l'État en France et en Angleterre au XVIe et XVIIe siècle ?,0.0,0,0,1,18,63,3.5,0,0,0,1,0,25979.71133333332,0,4,4,0,0,0,0,1,1,81848.59786248773,328.855,10303.513333333334,,13652.76,173.91333333333333,0.0,,328.855,10800.880775990241,,0.0,85.31049225557715,0.0,
33,Quel est le rôle de l'État en France et en Angleterre au XVIe et XVIIe siècle ?,1.0,0,0,1,18,63,3.5,0,0,0,1,0,25979.71133333332,0,4,4,0,0,0,0,1,1,81848.59786248773,328.855,10303.513333333334,,13652.76,173.91333333333333,0.0,,328.855,10800.880775990241,,0.0,85.31049225557715,0.0,
34,Quel est le rôle de l'État en France et en Angleterre au XVIe et XVIIe siècle ?,0.0,0,0,1,18,63,3.5,0,0,0,1,0,25979.71133333332,0,4,4,0,0,0,0,1,1,81848.59786248773,328.855,10303.513333333334,,13652.76,173.91333333333333,0.0,,328.855,10800.880775990241,,0.0,85.31049225557715,0.0,
35,Quel est le flux migratoire principal dans le monde ?,1.0,0,0,1,10,44,4.4,0,0,0,0,0,39091.69444444442,0,0,0,0,0,0,0,0,0,103305.31537156488,268.18333333333334,4658.59,,13652.76,832.755,,,281.8642203063186,0.0,,0.0,828.685,,
36,Quelles sont les inégalités de développement dans l'Afrique australe ?,1.0,0,0,0,11,61,5.545454545454546,0,0,1,0,0,37510.43299999998,0,1,1,0,0,0,0,0,0,98165.24495432714,256.38,14939.725,,13652.76,7.76,0.0,,256.17,10281.135,,0.0,6.42,0.0,
37,Quelles sont les inégalités de développement dans l'Afrique australe ?,0.0,0,0,0,11,61,5.545454545454546,0,0,1,0,0,37510.43299999998,0,1,1,0,0,0,0,0,0,98165.24495432714,256.38,14939.725,,13652.76,7.76,0.0,,256.17,10281.135,,0.0,6.42,0.0,
38,Quel est le rôle du pouvoir politique dans la répression ?,1.0,0,0,1,11,48,4.363636363636363,0,0,0,0,0,37568.94199999998,0,0,0,0,0,0,0,0,0,98142.99532102086,366.94500000000005,14939.725,,13652.76,126.49333333333334,,,290.765,10281.135,,0.0,94.60584102239964,,
39,Quels sont les espaces les plus dynamiques du territoire en France ?,1.0,0,0,1,12,57,4.75,0,0,1,0,0,34587.14363636362,0,1,1,0,0,0,0,0,0,94051.65689336236,331.535,15455.27,4062.45,13652.76,62.959999999999994,0.0,,326.175,9765.59,0.0,0.0,24.779999999999998,0.0,
40,Quelles sont les régions les plus attractives en France ?,0.0,0,0,0,10,48,4.8,0,0,1,0,0,39446.47999999998,0,1,1,0,0,0,0,0,0,103183.4077082151,256.635,5689.68,4062.45,13652.76,56.32,0.0,,255.915,0.0,0.0,0.0,0.0,0.0,
41,Pourquoi le tourisme en Afrique s'est développé ?,1.0,0,0,1,9,42,4.666666666666667,0,1,0,0,1,39448.989999999976,0,1,1,0,0,0,0,0,0,103178.78952653284,,5689.68,1348.04,13652.76,2.98,0.0,489.84000000000026,,0.0,0.0,0.0,0.0,0.0,0.0
42,Quels sont les principaux facteurs qui influent la répartition de la population ?,1.0,0,0,2,13,69,5.3076923076923075,0,0,1,0,0,34712.67909090907,0,0,0,0,0,0,0,0,0,94040.62335449019,402.21500000000003,25220.86,,13652.76,23.813333333333333,,13.100000000000003,255.495,0.0,,0.0,14.672916850063892,,0.0
43,Quels sont les 3 grands ensembles qui dominent le tourisme ?,1.0,0,0,2,11,50,4.545454545454546,0,0,1,1,1,35946.30899999999,0,0,0,0,0,0,0,0,0,98480.42893440094,1606.295,,,13652.76,33.36,,454.14000000000027,948.585,,,0.0,30.380000000000003,,0.0
44,Pourquoi l'urbanisation a augmenté dans tous les pays d'Afrique ?,1.0,0,0,1,12,56,4.666666666666667,0,1,1,0,1,83117.93909090901,0,1,1,0,0,0,0,0,0,243817.0605284694,14743.75,14939.725,1348.04,13652.76,101.35499999999999,0.0,746.5000000000002,0.0,10281.135,0.0,0.0,101.21499999999999,0.0,0.0
45,Quels sont les 3 grands ensembles qui dominent le tourisme ?,0.0,0,0,2,11,50,4.545454545454546,0,0,1,1,1,35946.30899999999,0,0,0,0,0,0,0,0,0,98480.42893440094,1606.295,,,13652.76,33.36,,454.14000000000027,948.585,,,0.0,30.380000000000003,,0.0
46,Comment l'Union Européenne aide à la réduction des inégalités territoriales ?,1.0,1,0,1,12,67,5.583333333333333,0,1,1,0,0,4730.708181818182,0,0,0,0,0,1,1,0,0,8122.769383113818,20.24,18705.63,922.93,13652.76,5.18,0.0,0.0,17.56,6515.2300000000005,0.0,0.0,3.84,0.0,0.0
47,Quel est le rôle du tourisme dans l'économie ?,1.0,0,0,1,10,38,3.8,0,0,0,0,0,41712.15999999998,0,0,0,0,0,0,0,0,0,102618.78237669863,657.71,14939.725,,13652.76,58.559999999999995,,,0.0,10281.135,,0.0,58.101407900325434,,
48,Quelles sont les inégalités économiques entre les pays d'Afrique ?,0.0,0,0,0,11,57,5.181818181818182,0,0,2,0,0,37102.31799999998,0,1,1,0,0,0,0,0,0,98309.2755362608,264.54499999999996,12796.79,,13652.76,101.955,0.0,,248.00499999999997,12424.070000000002,,0.0,100.615,0.0,
49,Quelles sont les inégalités économiques entre les pays d'Afrique ?,1.0,0,0,0,11,57,5.181818181818182,0,0,2,0,0,37102.31799999998,0,1,1,0,0,0,0,0,0,98309.2755362608,264.54499999999996,12796.79,,13652.76,101.955,0.0,,248.00499999999997,12424.070000000002,,0.0,100.615,0.0,
50,Quelles sont les inégalités économiques entre les pays d'Afrique ?,0.0,0,0,0,11,57,5.181818181818182,0,0,2,0,0,37102.31799999998,0,1,1,0,0,0,0,0,0,98309.2755362608,264.54499999999996,12796.79,,13652.76,101.955,0.0,,248.00499999999997,12424.070000000002,,0.0,100.615,0.0,
51,Quelles sont les principales zones d'émigration ?,0.0,0,0,0,8,43,5.375,0,0,1,0,0,46335.65124999997,0,0,0,0,0,0,0,0,0,107956.51259611723,329.635,25220.86,,13652.76,54.239999999999995,,,182.915,0.0,,0.0,53.63999999999999,,
52,Quelles sont les principales zones d'émigration ?,1.0,0,0,0,8,43,5.375,0,0,1,0,0,46335.65124999997,0,0,0,0,0,0,0,0,0,107956.51259611723,329.635,25220.86,,13652.76,54.239999999999995,,,182.915,0.0,,0.0,53.63999999999999,,
53,Quel est le but de la politique de cohésion économique et sociale de l'Union européenne ?,0.0,0,0,1,17,74,4.352941176470588,0,0,0,0,0,29531.559999999983,0,0,0,0,0,1,1,0,0,87372.84045122862,212.4125,25220.86,,13652.76,78.03,0.0,,261.12369438400265,0.0,,0.0,63.85226542574665,0.0,
54,Quel est le but de la politique de cohésion économique et sociale de l'Union européenne ?,1.0,0,0,1,17,74,4.352941176470588,0,0,0,0,0,29531.559999999983,0,0,0,0,0,1,1,0,0,87372.84045122862,212.4125,25220.86,,13652.76,78.03,0.0,,261.12369438400265,0.0,,0.0,63.85226542574665,0.0,
55,Quel est le but de la politique de cohésion économique et sociale de l'Union européenne ?,0.0,0,0,1,17,74,4.352941176470588,0,0,0,0,0,29531.559999999983,0,0,0,0,0,1,1,0,0,87372.84045122862,212.4125,25220.86,,13652.76,78.03,0.0,,261.12369438400265,0.0,,0.0,63.85226542574665,0.0,
56,Quels sont les principaux flux migratoires en Afrique du Sud ?,1.0,0,0,1,11,52,4.7272727272727275,0,0,1,0,0,34219.614545454526,0,1,1,0,0,0,0,0,0,94178.04125694952,268.18333333333334,15455.27,,13652.76,4.07,0.0,,281.8642203063186,9765.59,,0.0,0.0,0.0,
57,Quels sont les principaux flux migratoires en Afrique du Sud ?,0.0,0,0,1,11,52,4.7272727272727275,0,0,1,0,0,34219.614545454526,0,1,1,0,0,0,0,0,0,94178.04125694952,268.18333333333334,15455.27,,13652.76,4.07,0.0,,281.8642203063186,9765.59,,0.0,0.0,0.0,
58,Quelle est la population de la France en 2018 ?,0.0,0,0,0,10,38,3.8,0,0,0,1,0,41737.61111111109,0,1,1,0,0,0,0,0,0,102613.96561184143,0.0,15455.27,,13652.76,31.36,0.0,,0.0,9765.59,,0.0,0.0,0.0,
59,Quelle est la population de la France en 2018 ?,1.0,0,0,0,10,38,3.8,0,0,0,1,0,41737.61111111109,0,1,1,0,0,0,0,0,0,102613.96561184143,0.0,15455.27,,13652.76,31.36,0.0,,0.0,9765.59,,0.0,0.0,0.0,
60,Pourquoi encourager la coopération entre l'État et la région ?,1.0,0,0,1,11,53,4.818181818181818,0,1,0,0,1,3224.0633333333335,0,1,1,0,0,0,0,0,0,5392.179234450988,,372.72,1348.04,13652.76,117.65666666666665,,381.0000000000001,,0.0,0.0,0.0,124.64227007275217,,0.0
61,Quels sont les atouts en France favorisant le peuplement ?,1.0,0,0,1,10,49,4.9,0,0,1,0,1,39012.6922222222,0,1,1,0,0,0,0,0,0,103339.41868308219,657.71,5689.68,,13652.76,5.78,0.0,58.67999999999997,0.0,0.0,,0.0,5.7,0.0,0.0
62,Quels sont les atouts en France favorisant le peuplement ?,0.0,0,0,1,10,49,4.9,0,0,1,0,1,39012.6922222222,0,1,1,0,0,0,0,0,0,103339.41868308219,657.71,5689.68,,13652.76,5.78,0.0,58.67999999999997,0.0,0.0,,0.0,5.7,0.0,0.0
63,Quel est le nombre de touristes internationaux ?,1.0,0,0,1,8,41,5.125,0,0,1,0,0,46343.85124999997,0,0,0,0,0,0,0,0,0,107953.07866232358,362.15500000000003,25220.86,,13652.76,54.519999999999996,,,295.555,0.0,,0.0,25.799999999999997,,
64,Quels sont les effets du développement économique des zones peuplées ?,1.0,0,0,1,11,60,5.454545454545454,0,0,2,0,0,37094.90299999998,0,0,0,0,0,0,0,0,0,98312.10229236209,225.33666666666667,25220.86,,13652.76,118.52,,,305.7936522486292,0.0,,0.0,89.8525562611697,,
65,Quel est le taux de migration en île de France ?,1.0,0,0,1,11,38,3.4545454545454546,0,0,0,0,0,37627.75499999998,0,1,1,0,0,0,0,0,0,98125.85762291595,657.71,15455.27,,13652.76,6.3500000000000005,0.0,,0.0,9765.59,,0.0,4.870000000000001,0.0,
66,Que permet la collecte de l'impôt sous Louis XIV ?,1.0,1,0,1,11,41,3.727272727272727,1,0,0,0,1,5295.896999999999,0,0,0,0,0,0,0,1,1,7999.950694645625,0.0,12768.175000000001,,13652.76,18.27,0.0,5531.5199999999995,0.0,12452.685,,0.0,12.01,0.0,0.0
67,Quels sont les principaux facteurs qui influent sur l'essor du tourisme ?,1.0,0,0,2,13,62,4.769230769230769,0,0,1,0,0,32027.383333333313,0,0,0,0,0,0,0,0,0,90476.52034623142,402.21500000000003,13870.485,,13652.76,13.486666666666666,,13.100000000000003,255.495,11350.375,,0.0,16.49715396330194,,0.0
68,Comment évolue le vieillissement de la population au sein du territoire français ?,1.0,1,0,1,13,70,5.384615384615385,0,1,0,0,0,3644.1918181818182,0,0,0,0,0,0,0,0,0,7846.754709683625,129.18,12610.43,922.93,13652.76,40.095,,0.0,0.0,12610.43,0.0,0.0,31.92118223061295,,0.0
69,Où sont répartis les sites classés Seveso ?,0.0,0,0,0,8,36,4.5,0,1,1,0,2,43131.56499999997,0,1,1,0,0,0,0,0,0,108911.57380776174,,,0.0,13652.76,34.34,0.0,160.79000000000008,,,0.0,0.0,0.0,0.0,117.74000000000008
70,Quel est le rôle de l'État en France au XVIIe siècle ?,0.0,0,0,1,13,43,3.3076923076923075,0,0,0,1,0,31398.88249999998,0,2,2,1,1,0,0,0,0,90652.61229084278,657.71,10303.513333333334,,13652.76,173.91333333333333,0.0,,0.0,10800.880775990241,,0.0,85.31049225557715,0.0,
71,Quel est le rôle de l'État en France au XVIIe siècle ?,1.0,0,0,1,13,43,3.3076923076923075,0,0,0,1,0,31398.88249999998,0,2,2,1,1,0,0,0,0,90652.61229084278,657.71,10303.513333333334,,13652.76,173.91333333333333,0.0,,0.0,10800.880775990241,,0.0,85.31049225557715,0.0,
72,Quel est le rôle de l'État en France au XVIIe siècle ?,0.0,0,0,1,13,43,3.3076923076923075,0,0,0,1,0,31398.88249999998,0,2,2,1,1,0,0,0,0,90652.61229084278,657.71,10303.513333333334,,13652.76,173.91333333333333,0.0,,0.0,10800.880775990241,,0.0,85.31049225557715,0.0,
73,Quel est l'enjeu des gouvernements concernant les migrants ayant une qualification élevé ?,1.0,0,0,1,14,78,5.571428571428571,0,0,2,0,2,76492.31846153848,0,0,0,0,0,0,0,0,0,177053.01076401115,378.89500000000004,25220.86,,12870.19,34.905,,305748.82500000024,278.815,0.0,,782.5699999999997,52.30419557741042,,305009.1750000002
74,Quel est l'enjeu des gouvernements concernant les migrants ayant une qualification élevé ?,0.0,0,0,1,14,78,5.571428571428571,0,0,2,0,2,76492.31846153848,0,0,0,0,0,0,0,0,0,177053.01076401115,378.89500000000004,25220.86,,12870.19,34.905,,305748.82500000024,278.815,0.0,,782.5699999999997,52.30419557741042,,305009.1750000002
75,Où se repartissent les créations d'emplois en France ?,1.0,0,0,0,10,46,4.6,0,1,2,0,1,4934.413,0,1,1,0,0,0,0,0,0,7892.050695767293,,15455.27,0.0,13652.76,42.09,0.0,1882.8799999999992,,9765.59,0.0,0.0,19.790000000000003,0.0,0.0
76,Quels sont les territoires français les plus peuplés ?,0.0,0,0,1,9,46,5.111111111111111,0,0,1,0,0,43698.01499999998,0,0,0,0,0,0,0,0,0,108695.24136644202,262.2966666666667,,4062.45,13652.76,38.18,,,284.5296074029712,,0.0,0.0,0.0,,
77,Quels sont les territoires français les plus peuplés ?,1.0,0,0,1,9,46,5.111111111111111,0,0,1,0,0,43698.01499999998,0,0,0,0,0,0,0,0,0,108695.24136644202,262.2966666666667,,4062.45,13652.76,38.18,,,284.5296074029712,,0.0,0.0,0.0,,
78,Quelles sont les puissances émergentes rejoignant les trois pôles de la triade ?,0.0,0,0,0,13,68,5.230769230769231,0,0,2,1,1,33982.22454545453,0,0,0,0,0,0,0,0,0,94253.50045343758,256.385,25220.86,,13652.76,25.64,,3297.32,256.16499999999996,0.0,,0.0,29.580160017597375,,0.0
79,Quelles sont les puissances émergentes rejoignant les trois pôles de la triade ?,1.0,0,0,0,13,68,5.230769230769231,0,0,2,1,1,33982.22454545453,0,0,0,0,0,0,0,0,0,94253.50045343758,256.385,25220.86,,13652.76,25.64,,3297.32,256.16499999999996,0.0,,0.0,29.580160017597375,,0.0
80,Quelles conséquences ont les villes des pays en développement ?,1.0,0,0,0,10,54,5.4,0,0,3,0,0,89913.29899999993,0,0,0,0,0,0,0,0,0,254726.54218669207,,15455.27,,6826.38,211.39249999999996,,,,9765.59,,6826.38,230.43672183215506,,
81,Où sont répartis les sites classés Seveso ?,1.0,0,0,0,8,36,4.5,0,1,1,0,2,43131.56499999997,0,1,1,0,0,0,0,0,0,108911.57380776174,,,0.0,13652.76,34.34,0.0,160.79000000000008,,,0.0,0.0,0.0,0.0,117.74000000000008
82,Quels sont les espaces les plus exposés aux risques majeurs ?,1.0,0,0,1,11,51,4.636363636363637,0,0,2,0,1,36245.82799999998,0,0,0,0,0,0,0,0,0,98389.39566131272,349.755,12190.4,4062.45,13652.76,113.19999999999999,,582.9200000000001,307.95500000000004,0.0,0.0,0.0,25.46,,0.0
83,Quelles répercutions ont eu la fin de l'apartheid en Afrique du Sud ?,1.0,0,0,0,14,57,4.071428571428571,0,0,1,0,1,137224.78999999998,0,1,1,0,0,0,0,0,0,419786.293152326,,15455.27,,6826.38,142.42333333333332,0.0,610758.0000000005,,9765.59,,6826.38,201.0423594392209,0.0,0.0
84,Pourquoi les politiques d'aménagement visent à réduire les inégalités en matière de mobilité ?,0.0,0,0,1,15,81,5.4,0,1,2,0,2,4607.017692307692,0,0,0,0,0,0,0,0,0,7497.70030492443,,14366.980000000001,1348.04,13652.76,22.772000000000002,,837.8149999999998,,8120.75010576404,0.0,0.0,29.85892858091194,,112.93499999999977
85,Pourquoi les politiques d'aménagement visent à réduire les inégalités en matière de mobilité ?,1.0,0,0,1,15,81,5.4,0,1,2,0,2,4607.017692307692,0,0,0,0,0,0,0,0,0,7497.70030492443,,14366.980000000001,1348.04,13652.76,22.772000000000002,,837.8149999999998,,8120.75010576404,0.0,0.0,29.85892858091194,,112.93499999999977
86,Quels sont les villes les plus peuplées en France ?,1.0,0,0,1,10,42,4.2,0,0,1,0,0,39522.053333333315,0,1,1,0,0,0,0,0,0,103154.76212142096,329.735,5689.68,4062.45,13652.76,590.28,0.0,,327.975,0.0,0.0,0.0,0.0,0.0,
87,Pourquoi les politiques d'aménagement visent à réduire les inégalités en matière de mobilité ?,0.0,0,0,1,15,81,5.4,0,1,2,0,2,4607.017692307692,0,0,0,0,0,0,0,0,0,7497.70030492443,,14366.980000000001,1348.04,13652.76,22.772000000000002,,837.8149999999998,,8120.75010576404,0.0,0.0,29.85892858091194,,112.93499999999977
88,Quels sont les villes les plus peuplées en France ?,0.0,0,0,1,10,42,4.2,0,0,1,0,0,39522.053333333315,0,1,1,0,0,0,0,0,0,103154.76212142096,329.735,5689.68,4062.45,13652.76,590.28,0.0,,327.975,0.0,0.0,0.0,0.0,0.0,
